index,ecg
0,-0.11252183
1,-2.8272038
2,-3.7738969
3,-4.3497511
4,-4.376041
5,-3.4749863
6,-2.1814082
7,-1.8182865
8,-1.2505219
9,-0.47749208
10,-0.36380791
11,-0.49195659
12,-0.42185509
13,-0.30920086
14,-0.4959387
15,-0.34211867
16,-0.35533627
17,-0.36791303
18,-0.31650279
19,-0.41237405
20,-0.47167181
21,-0.41345783
22,-0.36461703
23,-0.44929829
24,-0.47141866
25,-0.42477658
26,-0.46251673
27,-0.55247236
28,-0.47537519
29,-0.6942
30,-0.7018681
31,-0.59381178
32,-0.66068415
33,-0.71383066
34,-0.76980688
35,-0.67228161
36,-0.65367605
37,-0.63940562
38,-0.55930228
39,-0.59167032
40,-0.49322332
41,-0.46305183
42,-0.30164382
43,-0.23273401
44,-0.12505488
45,-0.15394314
46,-0.024357404
47,-0.065608758
48,0.034999258
49,0.061935219
50,0.07119542
51,0.12392505
52,0.10312371
53,0.22522849
54,0.12868305
55,0.30248315
56,0.25727621
57,0.19635161
58,0.17938297
59,0.24472863
60,0.34121687
61,0.32820441
62,0.40604169
63,0.44660507
64,0.42406823
65,0.48151204
66,0.4778438
67,0.62408259
68,0.57458456
69,0.59801319
70,0.5645919
71,0.607979
72,0.62063457
73,0.65625291
74,0.68474806
75,0.69427284
76,0.66558377
77,0.57579577
78,0.63813479
79,0.61491695
80,0.56908343
81,0.46857572
82,0.44281777
83,0.46827436
84,0.43249295
85,0.40795792
86,0.41862256
87,0.36253075
88,0.41095901
89,0.47166633
90,0.37216676
91,0.33787543
92,0.22140511
93,0.27399747
94,0.29866408
95,0.26356357
96,0.34256352
97,0.41950529
98,0.58660736
99,0.86062387
100,1.1733446
101,1.2581791
102,1.4337887
103,1.7005334
104,1.9990431
105,2.1253411
106,1.9932907
107,1.9322463
108,1.7974367
109,1.5222839
110,1.2511679
111,0.99873034
112,0.48372242
113,0.023132292
114,-0.19491383
115,-0.22091729
116,-0.24373668
117,-0.25469462
118,-0.29113555
119,-0.25649034
120,-0.22787425
121,-0.32242276
122,-0.28928586
123,-0.31816951
124,-0.36365359
125,-0.39345584
126,-0.26641886
127,-0.25682316
128,-0.28869399
129,-0.16233755
130,0.16034772
131,0.79216787
132,0.93354122
133,0.79695779
134,0.57862066
135,0.2577399
136,0.22807718
137,0.12343082
138,0.92528624
139,0.19313742
140,-1.1008778
141,-3.9968398
142,-4.2858426
143,-4.5065789
144,-4.0223767
145,-3.2343676
146,-1.5661258
147,-0.99225766
148,-0.75467971
149,0.042321173
150,0.14895093
151,0.18352707
152,0.29487608
153,0.19023267
154,0.235575
155,0.25348712
156,0.2217424
157,0.050233259
158,0.17804214
159,0.13956318
160,0.046794433
161,0.043007139
162,0.10654432
163,0.012654003
164,0.0039948539
165,0.045724179
166,-0.045999362
167,-0.072666959
168,-0.071077909
169,-0.15386649
170,-0.22725443
171,-0.2492697
172,-0.25348935
173,-0.33283516
174,-0.26432996
175,-0.34582525
176,-0.31078107
177,-0.33415978
178,-0.30617791
179,-0.17456252
180,-0.20616017
181,-0.22447967
182,-0.048683931
183,-0.019621159
184,0.094805186
185,0.11678639
186,0.18518592
187,0.23052577
188,0.13802707
189,0.24442554
190,0.27169477
191,0.25900331
192,0.26920166
193,0.12706463
194,0.20207339
195,0.25598343
196,0.15311526
197,0.21021583
198,0.19108187
199,0.19092702
200,0.21051006
201,0.20710764
202,0.20488835
203,0.20086474
204,0.34691963
205,0.3480019
206,0.25453726
207,0.33197465
208,0.3566903
209,0.34992982
210,0.43037963
211,0.46750163
212,0.48606309
213,0.4031884
214,0.47895569
215,0.39739177
216,0.46412003
217,0.45179539
218,0.36136121
219,0.3798309
220,0.34278528
221,0.39910656
222,0.3875084
223,0.25570346
224,0.28403408
225,0.28499257
226,0.25010809
227,0.17303626
228,0.14942257
229,0.141685
230,0.22226096
231,0.17284705
232,0.15077932
233,0.17656601
234,0.28094204
235,0.48993901
236,0.66088884
237,0.8931933
238,1.0269972
239,1.2023937
240,1.5574096
241,1.8084277
242,2.1643459
243,2.0707467
244,1.9036136
245,1.7644552
246,1.5077694
247,1.2934277
248,0.89456215
249,0.57801575
250,0.24434305
251,-0.28644345
252,-0.51588134
253,-0.73270694
254,-0.83246547
255,-0.80331806
256,-0.83625248
257,-0.77786456
258,-0.77475301
259,-0.73340394
260,-0.72138631
261,-0.83209517
262,-0.71198159
263,-0.7518673
264,-0.7577196
265,-0.85311967
266,-0.76698841
267,-0.68816064
268,-0.51992349
269,0.039406169
270,0.56032676
271,0.53835583
272,0.65688079
273,0.78748958
274,0.72404623
275,0.55578372
276,0.47633335
277,0.77381971
278,1.1196209
279,-1.4362499
280,-0.56708802
281,-2.5934502
282,-3.8742297
283,-4.5840949
284,-4.1874487
285,-3.1514617
286,-1.7429402
287,-1.4906585
288,-1.1835803
289,-0.39422869
290,-0.28289676
291,-0.35692576
292,-0.28729745
293,-0.3994889
294,-0.47324409
295,-0.37904758
296,-0.39903903
297,-0.17859449
298,-0.33952226
299,-0.49844722
300,-0.33725108
301,-0.42547978
302,-0.42395228
303,-0.46317045
304,-0.49325315
305,-0.54974899
306,-0.52983109
307,-0.53093478
308,-0.5023649
309,-0.41736768
310,-0.52634573
311,-0.47100496
312,-0.67678428
313,-0.89861193
314,-0.61057104
315,-0.5301643
316,-0.76567438
317,-0.58193724
318,-0.53784761
319,-0.55638598
320,-0.43802347
321,-0.43624802
322,-0.40011375
323,-0.13498651
324,-0.23934677
325,-0.12024439
326,-0.0019714041
327,0.28500048
328,0.31564573
329,0.10736401
330,0.10952148
331,0.15807843
332,0.29189779
333,0.2612945
334,0.18840714
335,0.14065136
336,0.26336542
337,0.28720706
338,0.31431725
339,0.17794238
340,0.13829008
341,0.32106868
342,0.45816774
343,0.25191615
344,0.26135293
345,0.27748753
346,0.29879325
347,0.45907535
348,0.41914662
349,0.52050892
350,0.53776119
351,0.60321071
352,0.47563399
353,0.52169287
354,0.73524831
355,0.72954106
356,0.71852334
357,0.49843316
358,0.54544098
359,0.60482668
360,0.52129639
361,0.39438062
362,0.40502023
363,0.59756305
364,0.53113004
365,0.3776509
366,0.46770093
367,0.45756933
368,0.34111609
369,0.40791318
370,0.45912699
371,0.40393661
372,0.2981912
373,0.46110053
374,0.6646591
375,0.58775722
